1;Dinas Lingkungan Hidup Kab. Karangasem
2;Dinas PU dan Penataan Ruang Kab. Karangasem
3;Dinas Perindustrian dan Perdagangan Kab.Karangasem
4;Badan Pengelola Keuangan dan Aset Daerah Kab. Karangasem
5;Dinas Kesehatan Kab. Karangasem
6;Badan Perencanaan, Penelitian dan Pengembangan Daerah Kab. Karangasem
7;Dinas Komunikasi dan Informatika
8;Dinas Perikanan Kab. Karangasem
9;Dinas Pariwisata Kab. Karangasem
10;Kantor Pertanahan Kab. Karangasem
11;Satuan Polisi Pamong Praja Kab. Karangasem
12;Bagian Hukum dan HAM Setda Kab. Karangasem
13;Bagian Ekonomi Setda Kab. Karangasem
14;Dinas Pertanian Kab. Karangasem
15;Dinas Ketenagakerjaan Kab. Karangasem
16;Dinas Perhubungan Kab. Karangasem
17;Dinas Pendidikan, Pemuda dan Olahraga Kab. Karangasem
18;Dinas Perumahan dan Kawasan Permukiman Kab. Karangasem
19;Dinas Koperasi dan UKM Kab. Karangasem
20;Camat Karangasem
21;Camat Abang
22;Camat Kubu
23;Camat Bebandem
24;Camat Selat
25;Camat Sidemen
26;Camat Manggis
27;Camat Rendang
